月份,排名,车型,销量,厂商,售价
202202,3,欧拉好猫,4066,长城新能源,10.58 - 13.58
202202,4,YARiS L 致炫,3353,广汽丰田,8.58 - 10.38
202202,5,Polo,2906,上汽大众,9.09 - 12.49
202202,6,悦翔,2402,长安汽车,5.19 - 6.79
202202,7,焕驰,1963,悦达起亚,6.49 - 6.89
202202,8,飞度,1905,广汽本田,8.18 - 10.88
202202,9,威驰FS,1406,一汽丰田,7.18 - 9.28
202202,10,悦纳,693,北京现代,7.28 - 9.68
202202,11,YARiS L 致享,260,广汽丰田,8.78 - 9.38
202202,12,LIFE,31,东风本田,9.78 - 11.28
202202,13,零跑S01,7,零跑汽车,11.99 - 15.09
202203,1,海豚,10501,比亚迪,9.98 - 13.98
202203,2,欧拉好猫,6342,长城新能源,10.58 - 13.58
202203,3,YARiS L 致炫,5508,广汽丰田,8.58 - 10.38
202203,4,飞度,5118,广汽本田,8.18 - 10.88
202203,5,Polo,3665,上汽大众,9.09 - 12.49
202203,6,威驰,3141,一汽丰田,7.38 - 9.48
202203,7,焕驰,2101,悦达起亚,6.49 - 6.89
202203,8,悦翔,1982,长安汽车,5.19 - 6.79
202203,9,LIFE,1147,东风本田,9.78 - 11.28
202203,10,威驰FS,1079,一汽丰田,7.18 - 9.28
202203,11,YARiS L 致享,402,广汽丰田,8.78 - 9.38
202203,12,悦纳,314,北京现代,7.28 - 9.68
202203,13,全界Q1,114,云雀汽车,6.98 - 7.58
202203,14,零跑S01,5,零跑汽车,11.99 - 15.09
202204,1,海豚,12040,比亚迪,9.98 - 13.98
202204,2,YARiS L 致炫,4505,广汽丰田,8.58 - 10.38
202204,3,飞度,2847,广汽本田,8.18 - 10.88
202204,4,焕驰,1619,悦达起亚,6.49 - 6.89
202204,5,欧拉好猫,1547,长城新能源,10.58 - 13.58
202204,6,LIFE,1457,东风本田,9.78 - 11.28
202204,7,威驰,1035,一汽丰田,7.38 - 9.48
202204,8,悦翔,1013,长安汽车,5.19 - 6.79
202204,9,威驰FS,329,一汽丰田,7.18 - 9.28
202204,10,YARiS L 致享,325,广汽丰田,8.78 - 9.38
202204,11,悦纳,201,北京现代,7.28 - 9.68
202204,12,全界Q1,193,云雀汽车,6.98 - 7.58
202204,13,Polo,19,上汽大众,9.09 - 12.49
202205,1,海豚,6430,比亚迪,9.98 - 13.98
202205,2,YARiS L 致炫,5467,广汽丰田,8.58 - 10.38
202205,3,欧拉好猫,4023,长城新能源,10.58 - 13.58
202205,4,飞度,3381,广汽本田,8.18 - 10.88
202205,5,焕驰,3137,悦达起亚,6.49 - 6.89
202205,6,悦翔,2021,长安汽车,5.19 - 6.79
202205,7,威驰,1165,一汽丰田,7.38 - 9.48
202205,8,LIFE,994,东风本田,9.78 - 11.28
202205,9,YARiS L 致享,414,广汽丰田,8.78 - 9.38
202205,10,威驰FS,384,一汽丰田,7.18 - 9.28
202205,11,全界Q1,220,云雀汽车,6.98 - 7.58
202205,12,悦纳,129,北京现代,7.28 - 9.68
202206,1,海豚,10376,比亚迪,9.98 - 13.98
202206,2,YARiS L 致炫,8966,广汽丰田,8.58 - 10.38
202206,3,飞度,8784,广汽本田,8.18 - 10.88
202206,4,欧拉好猫,8275,长城新能源,10.58 - 13.58
202206,5,威驰,6674,一汽丰田,7.38 - 9.48
202206,6,焕驰,5281,悦达起亚,6.49 - 6.89
202206,7,威驰FS,2543,一汽丰田,7.18 - 9.28
202206,8,悦翔,2528,长安汽车,5.19 - 6.79
202206,9,LIFE,1701,东风本田,9.78 - 11.28
202206,10,YARiS L 致享,749,广汽丰田,8.78 - 9.38
202206,11,Polo,350,上汽大众,9.09 - 12.49
202206,12,全界Q1,203,云雀汽车,6.98 - 7.58
202206,13,悦纳,157,北京现代,7.28 - 9.68
202207,1,海豚,21005,比亚迪,9.98 - 13.98
202207,2,飞度,8742,广汽本田,8.18 - 10.88
202207,3,YARiS L 致炫,7597,广汽丰田,8.58 - 10.38
202207,4,欧拉好猫,7313,长城新能源,10.58 - 13.58
202207,5,焕驰,5546,悦达起亚,6.49 - 6.89
202207,6,威驰,4536,一汽丰田,7.38 - 9.48
202207,7,悦翔,2485,长安汽车,5.19 - 6.79
202207,8,威驰FS,2287,一汽丰田,7.18 - 9.28
202207,9,LIFE,1652,东风本田,9.78 - 11.28
202207,10,YARiS L 致享,206,广汽丰田,8.78 - 9.38
202207,11,悦纳,155,北京现代,7.28 - 9.68
202207,12,全界Q1,139,云雀汽车,6.98 - 7.58
202207,13,Polo,8,上汽大众,9.09 - 12.49
202208,1,海豚,23469,比亚迪,9.98 - 13.98
202208,2,欧拉好猫,8105,长城新能源,10.58 - 13.58
202208,3,YARiS L 致炫,7201,广汽丰田,8.58 - 10.38
202208,4,焕驰,4183,悦达起亚,6.49 - 6.89
202208,5,飞度,2630,广汽本田,8.18 - 10.88
202208,6,威驰,1652,一汽丰田,7.38 - 9.48
202208,7,LIFE,1201,东风本田,9.78 - 11.28
202208,8,悦翔,905,长安汽车,5.19 - 6.79
202208,9,全界Q1,146,云雀汽车,6.98 - 7.58
202208,10,YARiS L 致享,14,广汽丰田,8.78 - 9.38
202208,11,悦纳,4,北京现代,7.28 - 9.68
202209,1,海豚,24956,比亚迪,9.98 - 13.98
202209,2,YARiS L 致炫,8511,广汽丰田,8.58 - 10.38
202209,3,欧拉好猫,7099,长城新能源,10.58 - 13.58
202209,4,Polo,6326,上汽大众,9.09 - 12.49
202209,5,威驰,4864,一汽丰田,7.38 - 9.48
202209,6,焕驰,3560,悦达起亚,6.49 - 6.89
202209,7,飞度,3367,广汽本田,8.18 - 10.88
202209,8,悦翔,1555,长安汽车,5.19 - 6.79
202209,9,威驰FS,1290,一汽丰田,7.18 - 9.28
202209,10,LIFE,1061,东风本田,9.78 - 11.28
202209,11,悦纳,623,北京现代,7.28 - 9.68
202209,12,全界Q1,215,云雀汽车,6.98 - 7.58
202210,1,海豚,25336,比亚迪,9.98 - 13.98
202210,2,飞度,8102,广汽本田,8.18 - 10.88
202210,3,YARiS L 致炫,7537,广汽丰田,8.58 - 10.38
202210,4,欧拉好猫,5057,长城新能源,10.58 - 13.58
202210,5,Polo,4559,上汽大众,9.09 - 12.49
202210,6,威驰,3823,一汽丰田,7.38 - 9.48
202210,7,焕驰,3482,悦达起亚,6.49 - 6.89
202210,8,悦翔,1935,长安汽车,5.19 - 6.79
202210,9,威驰FS,1673,一汽丰田,7.18 - 9.28
202210,10,LIFE,917,东风本田,9.78 - 11.28
202210,11,全界Q1,243,云雀汽车,6.98 - 7.58
202210,12,悦纳,50,北京现代,7.28 - 9.68
202211,1,海豚,26063,比亚迪,9.98 - 13.98
202211,2,YARiS L 致炫,6954,广汽丰田,8.58 - 10.38
202211,3,飞度,6686,广汽本田,8.18 - 10.88
202211,4,Polo,5669,上汽大众,9.09 - 12.49
202211,5,焕驰,3768,悦达起亚,6.49 - 6.89
202211,6,欧拉好猫,3630,长城新能源,10.58 - 13.58
202211,7,威驰,2496,一汽丰田,7.38 - 9.48
202211,8,威驰FS,1044,一汽丰田,7.18 - 9.28
202211,9,全界Q1,266,云雀汽车,6.98 - 7.58
202211,10,悦纳,137,北京现代,7.28 - 9.68
202211,11,LIFE,66,东风本田,9.78 - 11.28
202211,12,悦翔,14,长安汽车,5.19 - 6.79
202212,1,海豚,26074,比亚迪,9.98 - 13.98
202212,2,YARiS L 致炫,7837,广汽丰田,8.58 - 10.38
202212,3,飞度,5046,广汽本田,8.18 - 10.88
202212,4,Polo,3927,上汽大众,9.09 - 12.49
202212,5,欧拉好猫,3808,长城新能源,10.58 - 13.58
202212,6,焕驰,2514,悦达起亚,6.49 - 6.89
202212,7,威驰,2090,一汽丰田,7.38 - 9.48
202212,8,威驰FS,1483,一汽丰田,7.18 - 9.28
202212,9,LIFE,1069,东风本田,9.78 - 11.28
202212,10,悦翔,680,长安汽车,5.19 - 6.79
202212,11,全界Q1,176,云雀汽车,6.98 - 7.58
202212,12,零跑S01,42,零跑汽车,11.99 - 15.09
202212,13,悦纳,33,北京现代,7.28 - 9.68
202301,1,海豚,17582,比亚迪,9.98 - 13.98
202301,2,飞度,6160,广汽本田,8.18 - 10.88
202301,3,YARiS L 致炫,5808,广汽丰田,8.58 - 10.38
202301,4,威驰,2258,一汽丰田,7.38 - 9.48
202301,5,悦翔,2253,长安汽车,5.19 - 6.79
202301,6,Polo,2135,上汽大众,9.09 - 12.49
202301,7,欧拉好猫,1148,长城新能源,10.58 - 13.58
202301,8,威驰FS,917,一汽丰田,7.18 - 9.28
202301,9,LIFE,358,东风本田,9.78 - 11.28
202301,10,悦纳,93,北京现代,7.28 - 9.68
202301,11,焕驰,26,悦达起亚,6.49 - 6.89
202301,12,YARiS L 致享,11,广汽丰田,8.78 - 9.38
202302,1,海豚,22682,比亚迪,9.98 - 13.98
202302,2,飞度,6065,广汽本田,8.18 - 10.88
202302,3,YARiS L 致炫,5797,广汽丰田,8.58 - 10.38
202302,4,Polo,3658,上汽大众,9.09 - 12.49
202302,5,威驰,3336,一汽丰田,7.38 - 9.48
202302,6,悦翔,2485,长安汽车,5.19 - 6.79
202302,7,欧拉好猫,2420,长城新能源,10.58 - 13.58
202302,8,威驰FS,1226,一汽丰田,7.18 - 9.28
202302,9,LIFE,815,东风本田,9.78 - 11.28
202302,10,悦纳,212,北京现代,7.28 - 9.68
202302,11,焕驰,54,悦达起亚,6.49 - 6.89
202302,12,YARiS L 致享,8,广汽丰田,8.78 - 9.38
202303,1,海豚,27687,比亚迪,9.98 - 13.98
202303,2,YARiS L 致炫,5691,广汽丰田,8.58 - 10.38
202303,3,飞度,4250,广汽本田,8.18 - 10.88
202303,4,欧拉好猫,3970,长城新能源,10.58 - 13.58
202303,5,威驰,3349,一汽丰田,7.38 - 9.48
202303,6,五菱缤果,3311,上汽通用五菱,5.68 - 8.88
202303,7,Polo,3018,上汽大众,9.09 - 12.49
202303,8,威驰FS,1240,一汽丰田,7.18 - 9.28
202303,9,LIFE,650,东风本田,9.78 - 11.28
202303,10,焕驰,102,悦达起亚,6.49 - 6.89
202303,11,悦纳,4,北京现代,7.28 - 9.68
202303,12,YARiS L 致享,2,广汽丰田,8.78 - 9.38
202304,1,海豚,29961,比亚迪,9.98 - 13.98
202304,2,五菱缤果,15011,上汽通用五菱,5.68 - 8.88
202304,3,欧拉好猫,7097,长城新能源,10.58 - 13.58
202304,4,飞度,6453,广汽本田,8.18 - 10.88
202304,5,YARiS L 致炫,6317,广汽丰田,8.58 - 10.38
202304,6,威驰,3937,一汽丰田,7.38 - 9.48
202304,7,Polo,3499,上汽大众,9.09 - 12.49
202304,8,威驰FS,1544,一汽丰田,7.18 - 9.28
202304,9,LIFE,514,东风本田,9.78 - 11.28
202304,10,焕驰,222,悦达起亚,6.49 - 6.89
202304,11,悦纳,3,北京现代,7.28 - 9.68
202304,12,YARiS L 致享,3,广汽丰田,8.78 - 9.38
202304,13,悦翔,1,长安汽车,5.19 - 6.79
202305,1,海豚,29081,比亚迪,9.98 - 13.98
202305,2,五菱缤果,14164,上汽通用五菱,5.68 - 8.88
202305,3,海鸥,8427,比亚迪,6.98 - 8.58
202305,4,欧拉好猫,7519,长城新能源,10.58 - 13.58
202305,5,飞度,4252,广汽本田,8.18 - 10.88
202305,6,威驰,3823,一汽丰田,7.38 - 9.48
202305,7,Polo,3126,上汽大众,9.09 - 12.49
202305,8,威驰FS,2526,一汽丰田,7.18 - 9.28
202305,9,YARiS L 致炫,2264,广汽丰田,8.58 - 10.38
202305,10,LIFE,615,东风本田,9.78 - 11.28
202305,11,焕驰,103,悦达起亚,6.49 - 6.89
202305,12,悦纳,4,北京现代,7.28 - 9.68
202305,13,YARiS L 致享,2,广汽丰田,8.78 - 9.38
202306,1,海豚,26408,比亚迪,9.98 - 13.98
202306,2,海鸥,16560,比亚迪,6.98 - 8.58
202306,3,五菱缤果,12176,上汽通用五菱,5.68 - 8.88
202306,4,欧拉好猫,7658,长城新能源,10.58 - 13.58
202306,5,飞度,4544,广汽本田,8.18 - 10.88
202306,6,Polo,3115,上汽大众,9.09 - 12.49
202306,7,钇为3,1061,江汽集团,6.99 - 14.99
202306,8,威驰,524,一汽丰田,7.38 - 9.48
202306,9,LIFE,481,东风本田,9.78 - 11.28
202306,10,威驰FS,414,一汽丰田,7.18 - 9.28
202306,11,YARiS L 致炫,260,广汽丰田,8.58 - 10.38
202306,12,焕驰,209,悦达起亚,6.49 - 6.89
202307,1,海鸥,24989,比亚迪,6.98 - 8.58
202307,2,海豚,21800,比亚迪,9.98 - 13.98
202307,3,五菱缤果,14378,上汽通用五菱,5.68 - 8.88
202307,4,欧拉好猫,7786,长城新能源,10.58 - 13.58
202307,5,飞度,3404,广汽本田,8.18 - 10.88
202307,6,Polo,3219,上汽大众,9.09 - 12.49
202307,7,钇为3,2191,江汽集团,6.99 - 14.99
202307,8,LIFE,611,东风本田,9.78 - 11.28
202307,9,威驰,254,一汽丰田,7.38 - 9.48
202307,10,威驰FS,200,一汽丰田,7.18 - 9.28
202307,11,焕驰,158,悦达起亚,6.49 - 6.89
202307,12,YARiS L 致炫,92,广汽丰田,8.58 - 10.38
202308,1,海鸥,34841,比亚迪,6.98 - 8.58
202308,2,海豚,22096,比亚迪,9.98 - 13.98
202308,3,五菱缤果,13892,上汽通用五菱,5.68 - 8.88
202308,4,欧拉好猫,6383,长城新能源,10.58 - 13.58
202308,5,飞度,4346,广汽本田,8.18 - 10.88
202308,6,Polo,3442,上汽大众,9.09 - 12.49
202308,7,钇为3,2490,江汽集团,6.99 - 14.99
202308,8,LIFE,527,东风本田,9.78 - 11.28
202308,9,焕驰,160,悦达起亚,6.49 - 6.89
202308,10,威驰,30,一汽丰田,7.38 - 9.48
202308,11,威驰FS,23,一汽丰田,7.18 - 9.28
202308,12,YARiS L 致炫,14,广汽丰田,8.58 - 10.38
202309,1,海鸥,35011,比亚迪,6.98 - 8.58
202309,2,海豚,24282,比亚迪,9.98 - 13.98
202309,3,五菱缤果,19606,上汽通用五菱,5.68 - 8.88
202309,4,欧拉好猫,8392,长城新能源,10.58 - 13.58
202309,5,飞度,3944,广汽本田,8.18 - 10.88
202309,6,Polo,3060,上汽大众,9.09 - 12.49
202309,7,钇为3,1227,江汽集团,6.99 - 14.99
202309,8,LIFE,562,东风本田,9.78 - 11.28
202309,9,焕驰,122,悦达起亚,6.49 - 6.89
202309,10,威驰,9,一汽丰田,7.38 - 9.48
202309,11,威驰FS,4,一汽丰田,7.18 - 9.28
202310,1,海鸥,37836,比亚迪,6.98 - 8.58
202310,2,海豚,24735,比亚迪,9.98 - 13.98
202310,3,五菱缤果,23744,上汽通用五菱,5.68 - 8.88
202310,4,欧拉好猫,7664,长城新能源,10.58 - 13.58
202310,5,飞度,4759,广汽本田,8.18 - 10.88
202310,6,Polo,3460,上汽大众,9.09 - 12.49
202310,7,钇为3,2239,江汽集团,6.99 - 14.99
202310,8,LIFE,581,东风本田,9.78 - 11.28
202310,9,焕驰,127,悦达起亚,6.49 - 6.89
202310,10,威驰,7,一汽丰田,7.38 - 9.48
202310,11,威驰FS,1,一汽丰田,7.18 - 9.28
202311,1,海鸥,40594,比亚迪,6.98 - 8.58
202311,2,海豚,26580,比亚迪,9.98 - 13.98
202311,3,五菱缤果,24024,上汽通用五菱,5.68 - 8.88
202311,4,欧拉好猫,6903,长城新能源,10.58 - 13.58
202311,5,飞度,3826,广汽本田,8.18 - 10.88
202311,6,Polo,3453,上汽大众,9.09 - 12.49
202311,7,钇为3,1318,江汽集团,6.99 - 14.99
202311,8,LIFE,404,东风本田,9.78 - 11.28
202311,9,焕驰,56,悦达起亚,6.49 - 6.89
202311,10,威驰,4,一汽丰田,7.38 - 9.48
202311,11,威驰FS,4,一汽丰田,7.18 - 9.28
202312,1,海鸥,41012,比亚迪,6.98 - 8.58
202312,2,五菱缤果,27458,上汽通用五菱,5.68 - 8.88
202312,3,海豚,26814,比亚迪,9.98 - 13.98
202312,4,欧拉好猫,6621,长城新能源,10.58 - 13.58
202312,5,飞度,3113,广汽本田,8.18 - 10.88
202312,6,Polo,2918,上汽大众,9.09 - 12.49
202312,7,钇为3,509,江汽集团,6.99 - 14.99
202312,8,LIFE,270,东风本田,9.78 - 11.28
202312,9,焕驰,48,悦达起亚,6.49 - 6.89
202312,10,威驰FS,3,一汽丰田,7.18 - 9.28
202312,11,威驰,1,一汽丰田,7.38 - 9.48
202401,1,海鸥,28050,比亚迪,6.98 - 8.58
202401,2,海豚,16386,比亚迪,9.98 - 13.98
202401,3,五菱缤果,11746,上汽通用五菱,5.68 - 8.88
202401,4,欧拉好猫,4033,长城新能源,10.58 - 13.58
202401,5,飞度,2188,广汽本田,8.18 - 10.88
202401,6,Polo,2110,上汽大众,9.09 - 12.49
202401,7,纳米01,1884,东风汽车,7.48 - 13.98
202401,8,钇为3,500,江汽集团,6.99 - 14.99
202401,9,LIFE,459,东风本田,9.78 - 11.28
202401,10,焕驰,380,悦达起亚,6.49 - 6.89
202401,11,威驰,4,一汽丰田,7.38 - 9.48
202401,12,威驰FS,4,一汽丰田,7.18 - 9.28
202402,1,海鸥,14403,比亚迪,6.98 - 8.58
202402,2,海豚,9213,比亚迪,9.98 - 13.98
202402,3,五菱缤果,8087,上汽通用五菱,5.68 - 8.88
202402,4,飞度,1844,广汽本田,8.18 - 10.88
202402,5,欧拉好猫,1731,长城新能源,10.58 - 13.58
202402,6,纳米01,1668,东风汽车,7.48 - 13.98
202402,7,Polo,1636,上汽大众,9.09 - 12.49
202402,8,LIFE,166,东风本田,9.78 - 11.28
202402,9,钇为3,73,江汽集团,6.99 - 14.99
202402,10,焕驰,45,悦达起亚,6.49 - 6.89
202403,1,海鸥,27866,比亚迪,6.98 - 8.58
202403,2,海豚,12672,比亚迪,9.98 - 13.98
202403,3,五菱缤果,11319,上汽通用五菱,5.68 - 8.88
202403,4,欧拉好猫,4132,长城新能源,10.58 - 13.58
202403,5,飞度,1994,广汽本田,8.18 - 10.88
202403,6,Polo,1887,上汽大众,9.09 - 12.49
202403,7,五菱缤果Plus,1375,上汽通用五菱,7.58 - 9.88
202403,8,纳米01,1188,东风汽车,7.48 - 13.98
202403,9,钇为3,484,江汽集团,6.99 - 14.99
202403,10,LIFE,234,东风本田,9.78 - 11.28
202403,11,焕驰,40,悦达起亚,6.49 - 6.89
202404,1,海鸥,28797,比亚迪,6.98 - 8.58
202404,2,五菱缤果,11749,上汽通用五菱,5.68 - 8.88
202404,3,海豚,9995,比亚迪,9.98 - 13.98
202404,4,欧拉好猫,3232,长城新能源,10.58 - 13.58
202404,5,纳米01,1802,东风汽车,7.48 - 13.98
202404,6,飞度,1504,广汽本田,8.18 - 10.88
202404,7,Polo,1361,上汽大众,9.09 - 12.49
202404,8,五菱缤果Plus,1001,上汽通用五菱,7.58 - 9.88
202404,9,钇为3,678,江汽集团,6.99 - 14.99
202404,10,LIFE,353,东风本田,9.78 - 11.28
202404,11,焕驰,40,悦达起亚,6.49 - 6.89
202405,1,海鸥,33544,比亚迪,6.98 - 8.58
202405,2,五菱缤果,13870,上汽通用五菱,5.68 - 8.88
202405,3,海豚,10832,比亚迪,9.98 - 13.98
202405,4,欧拉好猫,4262,长城新能源,10.58 - 13.58
202405,5,纳米01,2245,东风汽车,7.48 - 13.98
202405,6,飞度,1610,广汽本田,8.18 - 10.88
202405,7,Polo,1420,上汽大众,9.09 - 12.49
202405,8,钇为3,728,江汽集团,6.99 - 14.99
202405,9,五菱缤果Plus,661,上汽通用五菱,7.58 - 9.88
202405,10,LIFE,164,东风本田,9.78 - 11.28
202405,11,焕驰,21,悦达起亚,6.49 - 6.89
202406,1,海鸥,35201,比亚迪,6.98 - 8.58
202406,2,五菱缤果,11175,上汽通用五菱,5.68 - 8.88
202406,3,海豚,8429,比亚迪,9.98 - 13.98
202406,4,欧拉好猫,4578,长城新能源,10.58 - 13.58
202406,5,纳米01,2251,东风汽车,7.48 - 13.98
202406,6,Polo,1121,上汽大众,9.09 - 12.49
202406,7,飞度,961,广汽本田,8.18 - 10.88
202406,8,钇为3,659,江汽集团,6.99 - 14.99
202406,9,五菱缤果Plus,540,上汽通用五菱,7.58 - 9.88
202406,10,LIFE,120,东风本田,9.78 - 11.28
202406,11,焕驰,15,悦达起亚,6.49 - 6.89
202407,1,海鸥,34789,比亚迪,6.98 - 8.58
202407,2,五菱缤果,14536,上汽通用五菱,5.68 - 8.88
202407,3,海豚,12443,比亚迪,9.98 - 13.98
202407,4,欧拉好猫,3655,长城新能源,10.58 - 13.58
202407,5,纳米01,2708,东风汽车,7.48 - 13.98
202407,6,Polo,1258,上汽大众,9.09 - 12.49
202407,7,五菱缤果Plus,1193,上汽通用五菱,7.58 - 9.88
202407,8,飞度,822,广汽本田,8.18 - 10.88
202407,9,钇为3,819,江汽集团,6.99 - 14.99
202407,10,LIFE,73,东风本田,9.78 - 11.28
202407,11,焕驰,14,悦达起亚,6.49 - 6.89
202408,1,海鸥,46830,比亚迪,6.98 - 8.58
202408,2,五菱缤果,22185,上汽通用五菱,5.68 - 8.88
202408,3,海豚,15984,比亚迪,9.98 - 13.98
202408,4,欧拉好猫,3951,长城新能源,10.58 - 13.58
202408,5,纳米01,3460,东风汽车,7.48 - 13.98
202408,6,五菱缤果Plus,1470,上汽通用五菱,7.58 - 9.88
202408,7,Polo,1450,上汽大众,9.09 - 12.49
202408,8,钇为3,1211,江汽集团,6.99 - 14.99
202408,9,飞度,875,广汽本田,8.18 - 10.88
202408,10,LIFE,159,东风本田,9.78 - 11.28
202408,11,焕驰,27,悦达起亚,6.49 - 6.89
